ID loc0 loc1 
1 21.03630 105.85038
2 21.03632 105.85084
3 21.03666 105.85079
4 21.03561 105.85096
5 21.03541 105.85049
6 21.03653 105.85165
7 21.03669 105.85160
8 21.03680 105.85254
9 21.03700 105.85234
10 21.03687 105.85308
11 21.03663 105.85261
12 21.03667 105.85313
13 21.03603 105.85279
14 21.03602 105.85295
15 21.03588 105.85326
16 21.03603 105.85259
17 21.03602 105.85228
18 21.03587 105.85180
19 21.03521 105.85202
20 21.03537 105.85297
21 21.03573 105.85335
22 21.03550 105.85339
23 21.03561 105.85406
24 21.03484 105.85345
25 21.03485 105.85309
26 21.03470 105.85216
27 21.03478 105.85181
28 21.03476 105.85140
29 21.03481 105.85128
30 21.03466 105.85115
31 21.03443 105.85211
32 21.03444 105.85183
33 21.03413 105.85340
34 21.03483 105.85391
35 21.03477 105.85273
36 21.03505 105.85268
37 21.03571 105.85137
38 21.03647 105.85149
39 21.03666 105.85211
40 21.03640 105.85220
41 21.03663 105.85274
42 21.03631 105.85271
43 21.03592 105.85202
44 21.03474 105.85156
45 21.035315 105.852714
